genbank_accession,gisaid_epi_isl,Originating Lab,Submitting Lab,Author
,EPI_ISL_437323,Ministry of Health Turkey,Ministry of Health Turkey,Fatma Bayrakdar et al
,EPI_ISL_415644,"R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.","R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.",Nato Kotaria et al
,EPI_ISL_416541,Dasman Diabetes Institute and Virology Laboratory Ministry of Health,Dasman Diabetes Institute,Fahd Al-Mulla et al
,EPI_ISL_457704,Oman-NIC,Oman-NIC,Samira Al-Maruqi et al
,EPI_ISL_424301,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_435122,Mohammed Bin Rashid University of Medicine and Health Sciences,Al Jalila Genomics Center,Ahmad Abou Tayoun et al (https://dx.doi.org/10.1101/2020.05.06.080606)
,EPI_ISL_416543,Dasman Diabetes Institute,Dasman Diabetes Institute,Fahd Al-Mulla et al
,EPI_ISL_416458,Virology laboratory Ministry of Health Kuwait sequenced at Dasman Diabetes Institute,Dasman Diabetes Institute,Fahd Al-Mulla et al
,EPI_ISL_450747,Sunnybrook Health Sciences Centre,"Department of Laboratory Medicine and Molecular Diagnostics, Sunnybrook Health Sciences Centre",Jalees A. Nasir et al
,EPI_ISL_457701,Oman-NIC,Oman-NIC,Samira Al-Maruqi et al
,EPI_ISL_421672,"National Influenza Center, Indian Council of Medical Research - National Institute of Virology","Indian Council of Medical Research-National Institute of Virology, Microbial Containment Complex",Pragya D. Yadav et al (http://www.ijmr.org.in/article.asp?issn=0971-5916;year=2020;volume=151;issue=2;spage=255;epage=260;aulast=Potdar)
,EPI_ISL_417484,"Oslo University Hospital, Department of Medical Microbiology","Norwegian Institute of Public Health, Department of Virology",Kathrine Stene-Johansen et al
,EPI_ISL_421669,"National Influenza Center, Indian Council of Medical Research - National Institute of Virology","Indian Council of Medical Research-National Institute of Virology, Microbial Containment Complex",Pragya D. Yadav et al (http://www.ijmr.org.in/article.asp?issn=0971-5916;year=2020;volume=151;issue=2;spage=255;epage=260;aulast=Potdar)
,EPI_ISL_450515,Rafik Hariri University Hospital,Rafik Hariri University Hospital,Rita Feghali et al
,EPI_ISL_437320,Ministry of Health Turkey,Ministry of Health Turkey,Fatma Bayrakdar et al
,EPI_ISL_414476,MSHS Clinical Microbiology Laboratories,MSHS Pathogen Surveillance Program,Gopi Patel et al (https://dx.doi.org/10.1101/2020.04.08.20056929)
,EPI_ISL_412965,BCCDC Public Health Laboratory,BCCDC Public Health Laboratory,Harrigan et al B (https://dx.doi.org/10.1002/jmv.25773)
,EPI_ISL_415577,BCCDC Public Health Laboratory,BCCDC Public Health Laboratory,Harrigan et al A
,EPI_ISL_457939,Oman-NIC,Oman-NIC,Samira Al-Maruqi et al
,EPI_ISL_435135,Mohammed Bin Rashid University of Medicine and Health Sciences,Al Jalila Genomics Center,Ahmad Abou Tayoun et al (https://dx.doi.org/10.1101/2020.05.06.080606)
,EPI_ISL_437512,,Human Genetic Research Center,Khosravi et al
,EPI_ISL_445088,,Human Genetic Research Center,Abbasalipour Bashash et al
,EPI_ISL_434566,,Microbiology,To et al
,EPI_ISL_434565,,Microbiology,To et al
,EPI_ISL_416542,Dasman Diabetes Institute,Dasman Diabetes Institute,Fahd Al-Mulla et al
,EPI_ISL_430847,HS mikrobiologi virus,The Public Health Agency of Sweden,Zhibing Yun et al
,EPI_ISL_418325,Public Health Ontario Laboratories,Public Health Ontario Laboratories,Alireza Eshaghi et al
,EPI_ISL_418326,Public Health Ontario Laboratories,Public Health Ontario Laboratories,Alireza Eshaghi et al
,EPI_ISL_435139,Mohammed Bin Rashid University of Medicine and Health Sciences,Al Jalila Genomics Center,Ahmad Abou Tayoun et al (https://dx.doi.org/10.1101/2020.05.06.080606)
,EPI_ISL_413490,Auckland Hospital,Institute of Environmental Science and Research (ESR),Matt Storey et al B (https://dx.doi.org/10.1101/2020.03.15.992818)
,EPI_ISL_435131,Mohammed Bin Rashid University of Medicine and Health Sciences,Al Jalila Genomics Center,Ahmad Abou Tayoun et al (https://dx.doi.org/10.1101/2020.05.06.080606)
,EPI_ISL_424366,"Vaccine Research, Development and Application Center, Erciyes University",Gen Era Diagnostics Inc.,Shaikh Terkis Islam Pavel et al (https://dx.doi.org/10.1101/2020.05.15.095794)
,EPI_ISL_430719,Hospital Universitario La Paz,Hospital Universitario 12 de Octubre,Elias Dahdouh et al
,EPI_ISL_451299,"Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS","Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS",Martina Rueca et al
,EPI_ISL_410545,INMI Lazzaro Spallanzani IRCCS,"Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS",Maria R. Capobianchi et al (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)
,MT066156.1,,,unknown
,EPI_ISL_451300,"Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS","Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS",Cesare E.M. Gruber et al A
,EPI_ISL_451298,"Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS","Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS",Cesare E.M. Gruber et al A
,EPI_ISL_412974,"Department of Infectious Diseases, Istituto Superiore di Sanità, Rome, Italy","Virology Laboratory, Scientific Department, Army Medical Center",Paola Stefanelli et al A (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)
,EPI_ISL_451302,"Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS","Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS",Cesare E.M. Gruber et al B (https://dx.doi.org/10.1002/jmv.25699)
,MT077125.1,,,unknown
,EPI_ISL_436260,Servicio de Microbiologia. Hospital Universitario Doctor Peset,Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health,Juan Alberola Enguídanos et al
,EPI_ISL_416480,"R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.","R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.",Ann Machablishvili et al
,EPI_ISL_415641,"R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.","R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.",Nato Kotaria et al
,EPI_ISL_417765,The National University Hospital of Iceland,deCODE genetics,Daniel F Gudbjartsson et al (https://dx.doi.org/10.1056/NEJMoa2006100)
,EPI_ISL_417489,"Oslo University Hospital, Department of Medical Microbiology","Norwegian Institute of Public Health, Department of Virology",Kathrine Stene-Johansen et al
,EPI_ISL_420135,"Oslo University Hospital, Department of Medical Microbiology","Norwegian Institute of Public Health, Department of Virology",Kathrine Stene-Johansen et al
,EPI_ISL_417490,"Oslo University Hospital, Department of Medical Microbiology","Norwegian Institute of Public Health, Department of Virology",Kathrine Stene-Johansen et al
,EPI_ISL_420136,"Akershus University Hospital, Department for Microbiology and Infectious Disease Control","Norwegian Institute of Public Health, Department of Virology",Kathrine Stene-Johansen et al
,EPI_ISL_417488,"Oslo University Hospital, Department of Medical Microbiology","Norwegian Institute of Public Health, Department of Virology",Kathrine Stene-Johansen et al
,EPI_ISL_420541,"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana","Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana",Tomaž Mark Zorec et al
,EPI_ISL_427030,Victorian Infectious Diseases Reference Laboratory (VIDRL),"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute",Caly L. et al (https://dx.doi.org/10.1101/2020.05.12.20099929)
,EPI_ISL_427810,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention","Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention",Jeong-Min Kim et al A
MT163716,EPI_ISL_413025,Harborview Medical Center,UW Virology Lab,Pavitra Roychoudhury et al B (https://doi.dx.org/10.1101/2020.04.02.20051417)
,EPI_ISL_420799,Brian D. Allgood Army Community Hospital,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Krista Queen et al A
,EPI_ISL_420800,Brian D. Allgood Army Community Hospital,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Krista Queen et al A
,EPI_ISL_417950,"Viral Respiratory Lab, National Institute for Biomedical Research (INRB)","Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)",Placide Mbala-Kingebeni et al
,EPI_ISL_415128,LACEN/ES - Laboratório Central de Saúde Pública do Espírito Santo,Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),Paola Resende et al (https://dx.doi.org/10.1101/2020.06.17.158006)
,EPI_ISL_454239,,Instituto Nacional de Saude (INSA),Borges et al et al
,EPI_ISL_450793,Jamaica Ministry of Health and Wellness,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_450796,Jamaica Ministry of Health and Wellness,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_424879,NV-Southern Nevada Public Health Laboratory,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_438230,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_457753,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_457798,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_434691,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_417216,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England","Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)
,EPI_ISL_418582,UCD National Virus Reference Laboratory,UCD National Virus Reference Laboratory,Michael Carr et al
,EPI_ISL_419386,"Hospital Prof. Doutor Fernando Fonseca, EPE",Instituto Gulbenkian de Ciência,João Costa et al
,EPI_ISL_438225,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_453867,,Instituto Nacional de Saude (INSA),Borges et al et al
,EPI_ISL_455412,Nigeria Centre for Disease Control (NCDC),"African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria",Oluniyi P.E. et al A (https://virological.org/t/sars-cov-2-genomes-from-nigeria-reveal-community-transmission-multiple-virus-lineages-and-spike-protein-mutation-associated-with-higher-transmission-and-pathogenicity/494)
,EPI_ISL_455413,Nigeria Centre for Disease Control (NCDC),"African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria",Oluniyi P.E. et al A (https://virological.org/t/sars-cov-2-genomes-from-nigeria-reveal-community-transmission-multiple-virus-lineages-and-spike-protein-mutation-associated-with-higher-transmission-and-pathogenicity/494)
,EPI_ISL_434481,"Laboratory of Microbiology, Medical School, National and Kapodistrian University of Athens","Laboratory of Biology, Department of Medicine, Democritus University of Thrace",Kassela K. et al (https://dx.doi.org/10.1101/2020.06.03.20121236)
,EPI_ISL_417483,"Oslo University Hospital, Department of Medical Microbiology",Norwegian Institute of Public Health,Kathrine Stene-Johansen et al
,EPI_ISL_419558,OR State PHL-Virology/Immunology Section,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Ying Tao et al B
,EPI_ISL_430014,Biolab Diagnostic Laboratories,Andersen lab at Scripps Research,Issa Abu-Dayyeh et al
,EPI_ISL_420794,Oregon State Public Health- Virology section,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Krista Queen et al A
,EPI_ISL_427167,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_413603,"Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland","Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland",Teemu Smura et al A
,EPI_ISL_418060,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_430000,Biolab Diagnostic Laboratories,Andersen lab at Scripps Research,Issa Abu-Dayyeh et al
,EPI_ISL_456600,"National Health Laboratory, Timor-Leste","Microbiological Diagnostic Unit Public Health Laboratory, The Peter Doherty Institute for Infection and Immunity",Soares da Silva et al
,EPI_ISL_428831,"National Public Health Laboratory, National Centre for Infectious Diseases","National Public Health Laboratory, National Centre for Infectious Diseases",Mak TM et al
,EPI_ISL_416675,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al B (https://doi.dx.org/10.1101/2020.04.02.20051417)
,EPI_ISL_447329,"Clinical Virology Laboratory, Soroka Medical Center and the Faculty of Health Sciences, Ben-Gurion University of the Negev",Stern Lab,Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
,EPI_ISL_447319,"Clinical Virology Laboratory, Soroka Medical Center and the Faculty of Health Sciences, Ben-Gurion University of the Negev",Stern Lab,Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
,EPI_ISL_419565,"Laboratoire National de Santé, Microbiology, Virology","Laboratoire National de Santé, Microbiology, Epidemiology and Microbial Genomics",Anke Wienecke-Baldacchino et al
,EPI_ISL_420306,Alaska State Virology Laboratory,Alaska State Virology Laboratory,Chen et al
,EPI_ISL_426459,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
MT126808,EPI_ISL_413016,Hospital Israelita Albert Einstein,"Instituto Adolfo Lutz, Interdisciplinary Procedures Center, Strategic Laboratory",Jaqueline Goes de Jesus et al (https://virological.org/t/first-cases-of-coronavirus-disease-covid-19-in-brazil-south-america-2-genomes-3rd-march-2020/409)
